experiment,train_topology,test_topology,seed,model,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
topology_transfer,chain,chain,0,SG-Ham+Symp,0.002792330305508489,0.0016195017143649144,0.0009836770006473822,0.0
topology_transfer,chain,cycle,0,SG-Ham+Symp,0.0028923538502218936,0.001682440092011291,0.0009863658460653568,0.0
topology_transfer,chain,star,0,SG-Ham+Symp,0.0038552676059848343,0.002315431839812579,0.000622378951641593,0.0
topology_transfer,chain,grid,0,SG-Ham+Symp,0.003961148328715188,0.0022436698406820958,0.0010529839280068885,0.0
topology_transfer,chain,er,0,SG-Ham+Symp,0.006085428332131343,0.0031973214552001136,0.001772111387801735,0.0
topology_transfer,chain,chain,0,DirectGraphNext,0.00022667043993284343,0.0008180278330338751,0.000468490261449293,0.0
topology_transfer,chain,cycle,0,DirectGraphNext,0.0002285031995767865,0.0008472176811542979,0.0004688416907692808,0.0
topology_transfer,chain,star,0,DirectGraphNext,0.005378848896282202,0.0015456572300317241,0.0014861008573900916,0.0
topology_transfer,chain,grid,0,DirectGraphNext,0.0007752437591599168,0.0010529335073988769,0.0003702987838611076,0.0
topology_transfer,chain,er,0,DirectGraphNext,0.0030174990722893146,0.0012360009186562484,0.00023502121234107988,0.0
topology_transfer,chain,chain,0,GraphEuler,0.0002266730115240348,0.0008179981279830533,0.0004683707407619933,0.0
topology_transfer,chain,cycle,0,GraphEuler,0.00022850470060222677,0.0008471953563571457,0.00046873330837366654,0.0
topology_transfer,chain,star,0,GraphEuler,0.0053788314769203475,0.0015453650292609111,0.0014858759497186017,0.0
topology_transfer,chain,grid,0,GraphEuler,0.0007752388659823573,0.00105295005034196,0.00037038757218493297,0.0
topology_transfer,chain,er,0,GraphEuler,0.003017479416418403,0.0012360783381752368,0.00023491224778191761,0.0
topology_transfer,chain,chain,0,SympNoGraph,0.6757045283440902,0.10333913497294518,0.04968582788724768,0.0
topology_transfer,chain,cycle,0,SympNoGraph,0.673677477203566,0.09693166527250179,0.04489307820191324,0.0
topology_transfer,chain,star,0,SympNoGraph,0.660482306899281,0.21947366875970828,0.12190168741667338,0.0
topology_transfer,chain,grid,0,SympNoGraph,0.8476180761945176,0.15125025005632442,0.05991232327256802,0.0
topology_transfer,chain,er,0,SympNoGraph,1.2583603691243594,0.29640202844292013,0.14001917054361454,0.0
topology_transfer,chain,chain,1,SG-Ham+Symp,0.0027391478922559956,0.001613007983500391,0.0010265955720313161,0.0
topology_transfer,chain,cycle,1,SG-Ham+Symp,0.0027955145178514113,0.0016218413776584054,0.0010344364080805532,0.0
topology_transfer,chain,star,1,SG-Ham+Symp,0.0030339451899156454,0.0018262869475393177,0.0004929192219044294,0.0
topology_transfer,chain,grid,1,SG-Ham+Symp,0.003930676478410139,0.002172262452018134,0.0009721313966681395,0.0
topology_transfer,chain,er,1,SG-Ham+Symp,0.005865551879491982,0.0031079620153698986,0.0016074401549165587,0.0
topology_transfer,chain,chain,1,DirectGraphNext,0.00021929828821422848,0.000824413279526781,0.0005080635397301821,0.0
topology_transfer,chain,cycle,1,DirectGraphNext,0.00021458172917559592,0.000829532498076296,0.0005114826925238071,0.0
topology_transfer,chain,star,1,DirectGraphNext,0.003954719888851543,0.0012840463122121757,0.0011478436559269356,0.0
topology_transfer,chain,grid,1,DirectGraphNext,0.0008231944286921734,0.0010020455973262516,0.0003151805588671758,0.0
topology_transfer,chain,er,1,DirectGraphNext,0.0030849653697463167,0.0011731346779441626,0.0004155048410812605,0.0
topology_transfer,chain,chain,1,GraphEuler,0.00021929599347889688,0.000824381923135988,0.0005079507143657458,0.0
topology_transfer,chain,cycle,1,GraphEuler,0.00021457864222357076,0.0008295084316895977,0.000511383297663448,0.0
topology_transfer,chain,star,1,GraphEuler,0.003954704472102718,0.0012838384450694694,0.0011477052905351592,0.0
topology_transfer,chain,grid,1,GraphEuler,0.0008231874019501195,0.0010020656009298013,0.0003152724342431531,0.0
topology_transfer,chain,er,1,GraphEuler,0.003084942510346652,0.0011731228025088326,0.000415125083730251,0.0
topology_transfer,chain,chain,1,SympNoGraph,0.6462368284673837,0.10228176582172092,0.052270199096043156,0.0
topology_transfer,chain,cycle,1,SympNoGraph,0.6363978002315693,0.09961179051238174,0.048751104667889254,0.0
topology_transfer,chain,star,1,SympNoGraph,0.5742721058396315,0.21610479214514564,0.08419312227610863,0.0
topology_transfer,chain,grid,1,SympNoGraph,0.8308977397529294,0.1559227990260255,0.05430596062678675,0.0
topology_transfer,chain,er,1,SympNoGraph,1.177507509317109,0.279668117390454,0.1262937078940497,0.0
topology_transfer,chain,chain,2,SG-Ham+Symp,0.0033828893967404686,0.0018377256428102739,0.001306935342277626,0.0
topology_transfer,chain,cycle,2,SG-Ham+Symp,0.003529767617261811,0.0018942441596385407,0.0012721538702946266,0.0
topology_transfer,chain,star,2,SG-Ham+Symp,0.0041513965086857245,0.0023299067961492052,0.0006982672003032856,0.0
topology_transfer,chain,grid,2,SG-Ham+Symp,0.00476181410374693,0.002402591830734419,0.001155997126201365,0.0
topology_transfer,chain,er,2,SG-Ham+Symp,0.006074603139992772,0.0029555310376272324,0.0016377490042785321,0.0
topology_transfer,chain,chain,2,DirectGraphNext,0.00023137997326170483,0.0008548195139995585,0.0006005092661143598,0.0
topology_transfer,chain,cycle,2,DirectGraphNext,0.0002283490620121612,0.000883532712679768,0.0005828539813104969,0.0
topology_transfer,chain,star,2,DirectGraphNext,0.005102583247944127,0.0015348939154774532,0.0014329971713043534,0.0
topology_transfer,chain,grid,2,DirectGraphNext,0.0009605747031623509,0.0010334461964928026,0.0003323309561612022,0.0
topology_transfer,chain,er,2,DirectGraphNext,0.0023212919520109883,0.001146223338638688,0.0002356025307591594,0.0
